Student_ID,Gender,Study_Hours,Attendance,Previous_Score,Final_Score,Result
1,Male,5.7,83.3,72.1,76.9,Pass
2,Male,4.2,80.6,77.1,66,Pass
3,Male,2.3,76,63.3,45.4,Pass
4,Female,2.2,72.3,95.1,60.5,Pass
5,Female,4,86.9,81.1,64.9,Pass
6,Male,3.5,88.5,61.5,60.9,Pass
7,Male,4.3,69.7,82.4,62.6,Pass
8,Female,5.5,69.8,80.7,62.7,Pass
9,Male,5.5,84,66.5,68.3,Pass
10,Male,5.5,74.7,40.8,57.7,Pass
11,Male,3.8,87,64.2,71.1,Pass
12,Male,3.8,78.1,66.8,55.1,Pass
13,Female,4.1,100,64,60.5,Pass
14,Female,,67.6,68.5,65.7,Pass
15,Female,4,84.2,84.6,63.3,Pass
16,Female,4.9,93.4,84.1,67.6,Pass
17,,4.4,89.5,57.1,58.5,Pass
18,Female,5.7,76,78,86.1,Pass
19,Female,4.9,83.7,84.3,74.5,Pass
20,Female,15,76.4,54.1,94.9,Pass
21,Male,4.2,77.5,86.7,61,Pass
22,Female,5.7,88.9,32.4,59.9,Pass
23,Female,7,79,60.9,69,Pass
24,Female,5.5,72,72.6,70,Pass
25,Male,2,77.7,67.5,51,Pass
26,Female,3.8,82.3,39.6,60.7,Pass
27,Female,4.6,89.4,62.5,61.8,Pass
28,Female,6.2,56.7,60.4,59.6,Pass
29,Female,5.4,80,47.8,57.1,Pass
30,Male,6.8,74.8,59.3,59.3,Pass
31,Female,6.7,81.6,51.2,67.4,Pass
32,Male,4.5,85.6,86.9,70.7,Pass
33,Male,6.9,15,73.2,57.6,Pass
34,Female,5.5,85.2,,62.3,Pass
35,Male,4,61.6,58.1,50,Pass
36,Female,4.8,75.9,81.1,69.6,Pass
37,Female,2,92.6,88.6,64.6,Pass
38,Male,6.7,88,,71.1,Pass
39,Male,5.1,92.2,57.3,65.4,Pass
40,,4.9,79.2,78.5,57.7,Pass
41,Male,9.9,93.9,88.3,82.7,Pass
42,Male,5.4,92,71.4,74.5,Pass
43,Male,4.6,82.6,41.5,60.8,Pass
44,Female,4,97.1,64.8,54.3,Pass
45,Female,5.2,88.9,,5,Fail
46,Female,6.4,86.7,38.6,60.6,Pass
47,Male,6.2,86.2,71.4,69.8,Pass
48,Male,4,75.5,91,73.9,Pass
49,Male,4.1,80.6,87.1,70.6,Pass
50,Female,5.4,79.3,65.7,60.8,Pass
51,Female,6,92.6,34.7,62.3,Pass
52,Male,6.6,82.8,61.6,67.8,Pass
53,Male,3.7,81.8,64.7,59.4,Pass
54,Male,3.9,86.3,79.7,58.3,Pass
55,Male,3.6,70.9,74.4,57.2,Pass
56,Male,4.2,100,67.6,62.6,Pass
57,Female,2.6,72.3,74.1,61.2,Pass
58,Female,3.4,81.7,72.1,58.4,Pass
59,Female,,79.4,64,63.3,Pass
60,Female,5.4,91.2,5,40,Pass
61,Male,6.7,,70.4,71.7,Pass
62,Female,3.8,79.2,77,65,Pass
63,Male,5.3,,68,66.8,Pass
64,Female,7,79.3,77.8,73.4,Pass
65,Male,7.2,79.3,70.5,72.5,Pass
66,Female,4.8,71.9,56.2,49.7,Pass
